dataset,detector,threshold/config,metric,point,ci_low,ci_high,resamples,bootstrap_unit
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,UC_recall,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,PIIR,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,HN_FPR,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,burden,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,latency_mean,,,,1000,trajectory
StressFresh100,max_step_guard,threshold=25,F1,0.7019230769230769,0.590941637014024,0.7743469057477339,1000,trajectory
StressFresh100,max_step_guard,threshold=25,UC_recall,0.32460732984293195,0.2474924125578387,0.39896438478044693,1000,trajectory
StressFresh100,max_step_guard,threshold=25,PIIR,0.20930232558139536,0.13912707738794697,0.28102482011585317,1000,trajectory
StressFresh100,max_step_guard,threshold=25,HN_FPR,0.18376068376068377,0.09044489007724302,0.2768717583075813,1000,trajectory
StressFresh100,max_step_guard,threshold=25,burden,0.3499361430395913,0.265666175334605,0.4290601179454084,1000,trajectory
StressFresh100,max_step_guard,threshold=25,latency_mean,2.0806451612903225,1.0460416666666668,3.50966107617051,1000,trajectory
StressFresh100,max_step_guard,threshold=50,F1,0.40068104426787743,0.17586586075623276,0.5431247605669773,1000,trajectory
StressFresh100,max_step_guard,threshold=50,UC_recall,0.07329842931937172,0.03959425354300136,0.1129215542521994,1000,trajectory
StressFresh100,max_step_guard,threshold=50,PIIR,0.01937984496124031,0.0035842293906810036,0.039858695652173905,1000,trajectory
StressFresh100,max_step_guard,threshold=50,HN_FPR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=50,burden,0.11558109833971902,0.04135771098090888,0.1866457940116291,1000,trajectory
StressFresh100,max_step_guard,threshold=50,latency_mean,20.214285714285715,12.85654761904762,29.001923076923074,1000,trajectory
StressFresh100,max_step_guard,threshold=75,F1,0.2131461391193363,0.0,0.3694115245828285,1000,trajectory
StressFresh100,max_step_guard,threshold=75,UC_recall,0.015706806282722512,0.0,0.03429064039408867,1000,trajectory
StressFresh100,max_step_guard,threshold=75,PIIR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=75,HN_FPR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=75,burden,0.05332056194125159,0.0,0.11157384483197555,1000,trajectory
StressFresh100,max_step_guard,threshold=75,latency_mean,48.333333333333336,36.0,60.0,1000,trajectory
StressFresh100,max_step_guard,threshold=100,F1,0.12709030100334448,0.0,0.2479541884074719,1000,trajectory
StressFresh100,max_step_guard,threshold=100,UC_recall,0.010471204188481676,0.0,0.026319270398217763,1000,trajectory
StressFresh100,max_step_guard,threshold=100,PIIR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=100,HN_FPR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=100,burden,0.03033205619412516,0.0,0.06953321432163331,1000,trajectory
StressFresh100,max_step_guard,threshold=100,latency_mean,73.0,61.0,85.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,F1,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,UC_recall,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,PIIR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,HN_FPR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,burden,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=150,latency_mean,,,,1000,trajectory
StressFresh100,max_step_guard,threshold=200,F1,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=200,UC_recall,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=200,PIIR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=200,HN_FPR,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=200,burden,0.0,0.0,0.0,1000,trajectory
StressFresh100,max_step_guard,threshold=200,latency_mean,,,,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,F1,0.348993288590604,0.15757827443873956,0.5332942110926144,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,UC_recall,0.2356020942408377,0.16841970998925887,0.3101578488592435,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,PIIR,0.11627906976744186,0.07062791597016042,0.17227252970153578,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,HN_FPR,0.09401709401709402,0.048011936098756466,0.15731815493790655,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,burden,0.12388250319284802,0.06443301172541457,0.1968681054470149,1000,trajectory
StressFresh100,exact_action_repeat_k,k=2,latency_mean,1.2222222222222223,1.0,1.4815412186379926,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,F1,0.3071512309495897,0.1221219191217289,0.4905965282216116,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,UC_recall,0.13089005235602094,0.08153689462103222,0.1862863217576187,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,PIIR,0.07364341085271318,0.04234298297930908,0.10646431840585832,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,HN_FPR,0.0641025641025641,0.022328210168885712,0.11086601307189542,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,burden,0.09770114942528736,0.042930851052391646,0.1664212718094294,1000,trajectory
StressFresh100,exact_action_repeat_k,k=3,latency_mean,2.12,1.7083333333333333,2.5501388888888887,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,F1,0.2865743527995184,0.10878211335085447,0.48448378621479676,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,UC_recall,0.09947643979057591,0.055292050691244245,0.15304630725029572,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,PIIR,0.03875968992248062,0.01532420812494516,0.064153595514132,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,HN_FPR,0.038461538461538464,0.007744243753246004,0.08305871813057598,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,burden,0.08333333333333333,0.03191080363271031,0.15854347966502122,1000,trajectory
StressFresh100,exact_action_repeat_k,k=4,latency_mean,2.736842105263158,2.25,3.0714285714285716,1000,trajectory
StressFresh100,tool_repeat_k,k=2,F1,0.5283326538931921,0.40966021463422264,0.6340027512981476,1000,trajectory
StressFresh100,tool_repeat_k,k=2,UC_recall,0.581151832460733,0.5022260273972603,0.6651116427432217,1000,trajectory
StressFresh100,tool_repeat_k,k=2,PIIR,0.5155038759689923,0.45120457719571,0.5817063728890107,1000,trajectory
StressFresh100,tool_repeat_k,k=2,HN_FPR,0.24786324786324787,0.1891853573800644,0.32207907137110675,1000,trajectory
